Data;Dia da Semana;Feriado;;;
12/10/2040;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2040;sexta-feira;Finados;;;
15/11/2040;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2040;teráa-feira;Natal;;;
01/01/2041;teráa-feira;Confraternizaá∆o Universal;;;
04/03/2041;segunda-feira;Carnaval;;;
05/03/2041;teráa-feira;Carnaval;;;
19/04/2041;sexta-feira;Paix∆o de Cristo;;;
21/04/2041;domingo;Tiradentes;;;
01/05/2041;quarta-feira;Dia do Trabalho;;;
20/06/2041;quinta-feira;Corpus Christi;;;
07/09/2041;s†bado;Independància do Brasil;;;
12/10/2041;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2041;s†bado;Finados;;;
15/11/2041;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2041;quarta-feira;Natal;;;
01/01/2042;quarta-feira;Confraternizaá∆o Universal;;;
17/02/2042;segunda-feira;Carnaval;;;
18/02/2042;teráa-feira;Carnaval;;;
04/04/2042;sexta-feira;Paix∆o de Cristo;;;
21/04/2042;segunda-feira;Tiradentes;;;
01/05/2042;quinta-feira;Dia do Trabalho;;;
05/06/2042;quinta-feira;Corpus Christi;;;
07/09/2042;domingo;Independància do Brasil;;;
12/10/2042;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2042;domingo;Finados;;;
15/11/2042;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2042;quinta-feira;Natal;;;
01/01/2043;quinta-feira;Confraternizaá∆o Universal;;;
09/02/2043;segunda-feira;Carnaval;;;
10/02/2043;teráa-feira;Carnaval;;;
27/03/2043;sexta-feira;Paix∆o de Cristo;;;
21/04/2043;teráa-feira;Tiradentes;;;
01/05/2043;sexta-feira;Dia do Trabalho;;;
28/05/2043;quinta-feira;Corpus Christi;;;
07/09/2043;segunda-feira;Independància do Brasil;;;
12/10/2043;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2043;segunda-feira;Finados;;;
15/11/2043;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2043;sexta-feira;Natal;;;
01/01/2044;sexta-feira;Confraternizaá∆o Universal;;;
29/02/2044;segunda-feira;Carnaval;;;
01/03/2044;teráa-feira;Carnaval;;;
15/04/2044;sexta-feira;Paix∆o de Cristo;;;
21/04/2044;quinta-feira;Tiradentes;;;
01/05/2044;domingo;Dia do Trabalho;;;
16/06/2044;quinta-feira;Corpus Christi;;;
07/09/2044;quarta-feira;Independància do Brasil;;;
12/10/2044;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2044;quarta-feira;Finados;;;
15/11/2044;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2044;domingo;Natal;;;
01/01/2045;domingo;Confraternizaá∆o Universal;;;
20/02/2045;segunda-feira;Carnaval;;;
21/02/2045;teráa-feira;Carnaval;;;
07/04/2045;sexta-feira;Paix∆o de Cristo;;;
21/04/2045;sexta-feira;Tiradentes;;;
01/05/2045;segunda-feira;Dia do Trabalho;;;
08/06/2045;quinta-feira;Corpus Christi;;;
07/09/2045;quinta-feira;Independància do Brasil;;;
12/10/2045;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2045;quinta-feira;Finados;;;
15/11/2045;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2045;segunda-feira;Natal;;;
01/01/2046;segunda-feira;Confraternizaá∆o Universal;;;
05/02/2046;segunda-feira;Carnaval;;;
06/02/2046;teráa-feira;Carnaval;;;
23/03/2046;sexta-feira;Paix∆o de Cristo;;;
21/04/2046;s†bado;Tiradentes;;;
01/05/2046;teráa-feira;Dia do Trabalho;;;
24/05/2046;quinta-feira;Corpus Christi;;;
07/09/2046;sexta-feira;Independància do Brasil;;;
12/10/2046;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2046;sexta-feira;Finados;;;
15/11/2046;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2046;teráa-feira;Natal;;;
01/01/2047;teráa-feira;Confraternizaá∆o Universal;;;
25/02/2047;segunda-feira;Carnaval;;;
26/02/2047;teráa-feira;Carnaval;;;
12/04/2047;sexta-feira;Paix∆o de Cristo;;;
21/04/2047;teráa-feira;Tiradentes;;;
01/05/2047;quarta-feira;Dia do Trabalho;;;
13/06/2047;quinta-feira;Corpus Christi;;;
07/09/2047;s†bado;Independància do Brasil;;;
12/10/2047;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2047;s†bado;Finados;;;
15/11/2047;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2047;quarta-feira;Natal;;;
01/01/2048;quarta-feira;Confraternizaá∆o Universal;;;
17/02/2048;segunda-feira;Carnaval;;;
18/02/2048;teráa-feira;Carnaval;;;
03/04/2048;sexta-feira;Paix∆o de Cristo;;;
21/04/2048;teráa-feira;Tiradentes;;;
01/05/2048;sexta-feira;Dia do Trabalho;;;
04/06/2048;quinta-feira;Corpus Christi;;;
07/09/2048;segunda-feira;Independància do Brasil;;;
12/10/2048;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2048;segunda-feira;Finados;;;
15/11/2048;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2048;sexta-feira;Natal;;;
01/01/2049;sexta-feira;Confraternizaá∆o Universal;;;
01/03/2049;segunda-feira;Carnaval;;;
02/03/2049;teráa-feira;Carnaval;;;
16/04/2049;sexta-feira;Paix∆o de Cristo;;;
21/04/2049;quarta-feira;Tiradentes;;;
01/05/2049;s†bado;Dia do Trabalho;;;
17/06/2049;quinta-feira;Corpus Christi;;;
07/09/2049;teráa-feira;Independància do Brasil;;;
12/10/2049;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2049;teráa-feira;Finados;;;
15/11/2049;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2049;s†bado;Natal;;;
01/01/2050;s†bado;Confraternizaá∆o Universal;;;
21/02/2050;segunda-feira;Carnaval;;;
22/02/2050;teráa-feira;Carnaval;;;
08/04/2050;sexta-feira;Paix∆o de Cristo;;;
21/04/2050;quinta-feira;Tiradentes;;;
01/05/2050;domingo;Dia do Trabalho;;;
09/06/2050;quinta-feira;Corpus Christi;;;
07/09/2050;quarta-feira;Independància do Brasil;;;
12/10/2050;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2050;quarta-feira;Finados;;;
15/11/2050;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2050;domingo;Natal;;;
01/01/2051;domingo;Confraternizaá∆o Universal;;;
13/02/2051;segunda-feira;Carnaval;;;
14/02/2051;teráa-feira;Carnaval;;;
31/03/2051;sexta-feira;Paix∆o de Cristo;;;
21/04/2051;sexta-feira;Tiradentes;;;
01/05/2051;segunda-feira;Dia do Trabalho;;;
01/06/2051;quinta-feira;Corpus Christi;;;
07/09/2051;quinta-feira;Independància do Brasil;;;
12/10/2051;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2051;quinta-feira;Finados;;;
15/11/2051;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2051;segunda-feira;Natal;;;
01/01/2052;segunda-feira;Confraternizaá∆o Universal;;;
04/03/2052;segunda-feira;Carnaval;;;
05/03/2052;teráa-feira;Carnaval;;;
19/04/2052;sexta-feira;Paix∆o de Cristo;;;
21/04/2052;domingo;Tiradentes;;;
01/05/2052;quarta-feira;Dia do Trabalho;;;
20/06/2052;quinta-feira;Corpus Christi;;;
07/09/2052;s†bado;Independància do Brasil;;;
12/10/2052;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2052;s†bado;Finados;;;
15/11/2052;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2052;quarta-feira;Natal;;;
01/01/2053;quarta-feira;Confraternizaá∆o Universal;;;
17/02/2053;segunda-feira;Carnaval;;;
18/02/2053;teráa-feira;Carnaval;;;
04/04/2053;sexta-feira;Paix∆o de Cristo;;;
21/04/2053;segunda-feira;Tiradentes;;;
01/05/2053;quinta-feira;Dia do Trabalho;;;
05/06/2053;quinta-feira;Corpus Christi;;;
07/09/2053;domingo;Independància do Brasil;;;
12/10/2053;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2053;domingo;Finados;;;
15/11/2053;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2053;quinta-feira;Natal;;;
01/01/2054;quinta-feira;Confraternizaá∆o Universal;;;
09/02/2054;segunda-feira;Carnaval;;;
10/02/2054;teráa-feira;Carnaval;;;
27/03/2054;sexta-feira;Paix∆o de Cristo;;;
21/04/2054;teráa-feira;Tiradentes;;;
01/05/2054;sexta-feira;Dia do Trabalho;;;
28/05/2054;quinta-feira;Corpus Christi;;;
07/09/2054;segunda-feira;Independància do Brasil;;;
12/10/2054;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2054;segunda-feira;Finados;;;
15/11/2054;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2054;sexta-feira;Natal;;;
01/01/2055;sexta-feira;Confraternizaá∆o Universal;;;
01/03/2055;segunda-feira;Carnaval;;;
02/03/2055;teráa-feira;Carnaval;;;
16/04/2055;sexta-feira;Paix∆o de Cristo;;;
21/04/2055;quarta-feira;Tiradentes;;;
01/05/2055;s†bado;Dia do Trabalho;;;
17/06/2055;quinta-feira;Corpus Christi;;;
07/09/2055;teráa-feira;Independància do Brasil;;;
12/10/2055;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2055;teráa-feira;Finados;;;
15/11/2055;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2055;s†bado;Natal;;;
01/01/2056;s†bado;Confraternizaá∆o Universal;;;
14/02/2056;segunda-feira;Carnaval;;;
15/02/2056;teráa-feira;Carnaval;;;
31/03/2056;sexta-feira;Paix∆o de Cristo;;;
21/04/2056;sexta-feira;Tiradentes;;;
01/05/2056;segunda-feira;Dia do Trabalho;;;
01/06/2056;quinta-feira;Corpus Christi;;;
07/09/2056;quinta-feira;Independància do Brasil;;;
12/10/2056;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2056;quinta-feira;Finados;;;
15/11/2056;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2056;segunda-feira;Natal;;;
01/01/2057;segunda-feira;Confraternizaá∆o Universal;;;
05/03/2057;segunda-feira;Carnaval;;;
06/03/2057;teráa-feira;Carnaval;;;
20/04/2057;sexta-feira;Paix∆o de Cristo;;;
21/04/2057;s†bado;Tiradentes;;;
01/05/2057;teráa-feira;Dia do Trabalho;;;
21/06/2057;quinta-feira;Corpus Christi;;;
07/09/2057;sexta-feira;Independància do Brasil;;;
12/10/2057;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2057;sexta-feira;Finados;;;
15/11/2057;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2057;teráa-feira;Natal;;;
01/01/2058;teráa-feira;Confraternizaá∆o Universal;;;
25/02/2058;segunda-feira;Carnaval;;;
26/02/2058;teráa-feira;Carnaval;;;
12/04/2058;sexta-feira;Paix∆o de Cristo;;;
21/04/2058;domingo;Tiradentes;;;
01/05/2058;quarta-feira;Dia do Trabalho;;;
13/06/2058;quinta-feira;Corpus Christi;;;
07/09/2058;s†bado;Independància do Brasil;;;
12/10/2058;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2058;s†bado;Finados;;;
15/11/2058;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2058;quarta-feira;Natal;;;
01/01/2059;quarta-feira;Confraternizaá∆o Universal;;;
10/02/2059;segunda-feira;Carnaval;;;
11/02/2059;teráa-feira;Carnaval;;;
28/03/2059;sexta-feira;Paix∆o de Cristo;;;
21/04/2059;segunda-feira;Tiradentes;;;
01/05/2059;quinta-feira;Dia do Trabalho;;;
29/05/2059;quinta-feira;Corpus Christi;;;
07/09/2059;domingo;Independància do Brasil;;;
12/10/2059;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2059;domingo;Finados;;;
15/11/2059;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2059;quinta-feira;Natal;;;
01/01/2060;quinta-feira;Confraternizaá∆o Universal;;;
01/03/2060;segunda-feira;Carnaval;;;
02/03/2060;teráa-feira;Carnaval;;;
16/04/2060;sexta-feira;Paix∆o de Cristo;;;
21/04/2060;quarta-feira;Tiradentes;;;
01/05/2060;s†bado;Dia do Trabalho;;;
17/06/2060;quinta-feira;Corpus Christi;;;
07/09/2060;teráa-feira;Independància do Brasil;;;
12/10/2060;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2060;teráa-feira;Finados;;;
15/11/2060;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2060;s†bado;Natal;;;
01/01/2061;s†bado;Confraternizaá∆o Universal;;;
21/02/2061;segunda-feira;Carnaval;;;
22/02/2061;teráa-feira;Carnaval;;;
08/04/2061;sexta-feira;Paix∆o de Cristo;;;
21/04/2061;quinta-feira;Tiradentes;;;
01/05/2061;domingo;Dia do Trabalho;;;
09/06/2061;quinta-feira;Corpus Christi;;;
07/09/2061;quarta-feira;Independància do Brasil;;;
12/10/2061;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2061;quarta-feira;Finados;;;
15/11/2061;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2061;domingo;Natal;;;
01/01/2062;domingo;Confraternizaá∆o Universal;;;
06/02/2062;segunda-feira;Carnaval;;;
07/02/2062;teráa-feira;Carnaval;;;
24/03/2062;sexta-feira;Paix∆o de Cristo;;;
21/04/2062;sexta-feira;Tiradentes;;;
01/05/2062;segunda-feira;Dia do Trabalho;;;
25/05/2062;quinta-feira;Corpus Christi;;;
07/09/2062;quinta-feira;Independància do Brasil;;;
12/10/2062;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2062;quinta-feira;Finados;;;
15/11/2062;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2062;segunda-feira;Natal;;;
01/01/2063;segunda-feira;Confraternizaá∆o Universal;;;
26/02/2063;segunda-feira;Carnaval;;;
27/02/2063;teráa-feira;Carnaval;;;
13/04/2063;sexta-feira;Paix∆o de Cristo;;;
21/04/2063;s†bado;Tiradentes;;;
01/05/2063;teráa-feira;Dia do Trabalho;;;
14/06/2063;quinta-feira;Corpus Christi;;;
07/09/2063;sexta-feira;Independància do Brasil;;;
12/10/2063;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2063;sexta-feira;Finados;;;
15/11/2063;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2063;teráa-feira;Natal;;;
01/01/2064;teráa-feira;Confraternizaá∆o Universal;;;
18/02/2064;segunda-feira;Carnaval;;;
19/02/2064;teráa-feira;Carnaval;;;
04/04/2064;sexta-feira;Paix∆o de Cristo;;;
21/04/2064;segunda-feira;Tiradentes;;;
01/05/2064;quinta-feira;Dia do Trabalho;;;
05/06/2064;quinta-feira;Corpus Christi;;;
07/09/2064;domingo;Independància do Brasil;;;
12/10/2064;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2064;domingo;Finados;;;
15/11/2064;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2064;quinta-feira;Natal;;;
01/01/2065;quinta-feira;Confraternizaá∆o Universal;;;
09/02/2065;segunda-feira;Carnaval;;;
10/02/2065;teráa-feira;Carnaval;;;
27/03/2065;sexta-feira;Paix∆o de Cristo;;;
21/04/2065;teráa-feira;Tiradentes;;;
01/05/2065;sexta-feira;Dia do Trabalho;;;
28/05/2065;quinta-feira;Corpus Christi;;;
07/09/2065;segunda-feira;Independància do Brasil;;;
12/10/2065;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2065;segunda-feira;Finados;;;
15/11/2065;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2065;sexta-feira;Natal;;;
01/01/2066;sexta-feira;Confraternizaá∆o Universal;;;
22/02/2066;segunda-feira;Carnaval;;;
23/02/2066;teráa-feira;Carnaval;;;
09/04/2066;sexta-feira;Paix∆o de Cristo;;;
21/04/2066;quarta-feira;Tiradentes;;;
01/05/2066;s†bado;Dia do Trabalho;;;
10/06/2066;quinta-feira;Corpus Christi;;;
07/09/2066;teráa-feira;Independància do Brasil;;;
12/10/2066;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2066;teráa-feira;Finados;;;
15/11/2066;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2066;s†bado;Natal;;;
01/01/2067;s†bado;Confraternizaá∆o Universal;;;
14/02/2067;segunda-feira;Carnaval;;;
15/02/2067;teráa-feira;Carnaval;;;
01/04/2067;sexta-feira;Paix∆o de Cristo;;;
21/04/2067;quinta-feira;Tiradentes;;;
01/05/2067;domingo;Dia do Trabalho;;;
02/06/2067;quinta-feira;Corpus Christi;;;
07/09/2067;quarta-feira;Independància do Brasil;;;
12/10/2067;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2067;quarta-feira;Finados;;;
15/11/2067;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2067;domingo;Natal;;;
01/01/2068;domingo;Confraternizaá∆o Universal;;;
05/03/2068;segunda-feira;Carnaval;;;
06/03/2068;teráa-feira;Carnaval;;;
20/04/2068;sexta-feira;Paix∆o de Cristo;;;
21/04/2068;s†bado;Tiradentes;;;
01/05/2068;teráa-feira;Dia do Trabalho;;;
21/06/2068;quinta-feira;Corpus Christi;;;
07/09/2068;sexta-feira;Independància do Brasil;;;
12/10/2068;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2068;sexta-feira;Finados;;;
15/11/2068;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2068;teráa-feira;Natal;;;
01/01/2069;teráa-feira;Confraternizaá∆o Universal;;;
25/02/2069;segunda-feira;Carnaval;;;
26/02/2069;teráa-feira;Carnaval;;;
12/04/2069;sexta-feira;Paix∆o de Cristo;;;
21/04/2069;domingo;Tiradentes;;;
01/05/2069;quarta-feira;Dia do Trabalho;;;
13/06/2069;quinta-feira;Corpus Christi;;;
07/09/2069;s†bado;Independància do Brasil;;;
12/10/2069;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2069;s†bado;Finados;;;
15/11/2069;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2069;quarta-feira;Natal;;;
01/01/2070;quarta-feira;Confraternizaá∆o Universal;;;
10/02/2070;segunda-feira;Carnaval;;;
11/02/2070;teráa-feira;Carnaval;;;
28/03/2070;sexta-feira;Paix∆o de Cristo;;;
21/04/2070;segunda-feira;Tiradentes;;;
01/05/2070;quinta-feira;Dia do Trabalho;;;
29/05/2070;quinta-feira;Corpus Christi;;;
07/09/2070;domingo;Independància do Brasil;;;
12/10/2070;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2070;domingo;Finados;;;
15/11/2070;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2070;quinta-feira;Natal;;;
01/01/2071;quinta-feira;Confraternizaá∆o Universal;;;
02/03/2071;segunda-feira;Carnaval;;;
03/03/2071;teráa-feira;Carnaval;;;
17/04/2071;sexta-feira;Paix∆o de Cristo;;;
21/04/2071;teráa-feira;Tiradentes;;;
01/05/2071;sexta-feira;Dia do Trabalho;;;
18/06/2071;quinta-feira;Corpus Christi;;;
07/09/2071;segunda-feira;Independància do Brasil;;;
12/10/2071;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2071;segunda-feira;Finados;;;
15/11/2071;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2071;sexta-feira;Natal;;;
01/01/2072;sexta-feira;Confraternizaá∆o Universal;;;
22/02/2072;segunda-feira;Carnaval;;;
23/02/2072;teráa-feira;Carnaval;;;
08/04/2072;sexta-feira;Paix∆o de Cristo;;;
21/04/2072;quinta-feira;Tiradentes;;;
01/05/2072;domingo;Dia do Trabalho;;;
09/06/2072;quinta-feira;Corpus Christi;;;
07/09/2072;quarta-feira;Independància do Brasil;;;
12/10/2072;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2072;quarta-feira;Finados;;;
15/11/2072;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2072;domingo;Natal;;;
01/01/2073;domingo;Confraternizaá∆o Universal;;;
06/02/2073;segunda-feira;Carnaval;;;
07/02/2073;teráa-feira;Carnaval;;;
24/03/2073;sexta-feira;Paix∆o de Cristo;;;
21/04/2073;sexta-feira;Tiradentes;;;
01/05/2073;segunda-feira;Dia do Trabalho;;;
25/05/2073;quinta-feira;Corpus Christi;;;
07/09/2073;quinta-feira;Independància do Brasil;;;
12/10/2073;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2073;quinta-feira;Finados;;;
15/11/2073;quarta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2073;segunda-feira;Natal;;;
01/01/2074;segunda-feira;Confraternizaá∆o Universal;;;
26/02/2074;segunda-feira;Carnaval;;;
27/02/2074;teráa-feira;Carnaval;;;
13/04/2074;sexta-feira;Paix∆o de Cristo;;;
21/04/2074;s†bado;Tiradentes;;;
01/05/2074;teráa-feira;Dia do Trabalho;;;
14/06/2074;quinta-feira;Corpus Christi;;;
07/09/2074;sexta-feira;Independància do Brasil;;;
12/10/2074;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2074;sexta-feira;Finados;;;
15/11/2074;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2074;teráa-feira;Natal;;;
01/01/2075;teráa-feira;Confraternizaá∆o Universal;;;
18/02/2075;segunda-feira;Carnaval;;;
19/02/2075;teráa-feira;Carnaval;;;
05/04/2075;sexta-feira;Paix∆o de Cristo;;;
21/04/2075;domingo;Tiradentes;;;
01/05/2075;quarta-feira;Dia do Trabalho;;;
06/06/2075;quinta-feira;Corpus Christi;;;
07/09/2075;s†bado;Independància do Brasil;;;
12/10/2075;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2075;s†bado;Finados;;;
15/11/2075;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2075;quarta-feira;Natal;;;
01/01/2076;quarta-feira;Confraternizaá∆o Universal;;;
02/03/2076;segunda-feira;Carnaval;;;
03/03/2076;teráa-feira;Carnaval;;;
17/04/2076;sexta-feira;Paix∆o de Cristo;;;
21/04/2076;teráa-feira;Tiradentes;;;
01/05/2076;sexta-feira;Dia do Trabalho;;;
18/06/2076;quinta-feira;Corpus Christi;;;
07/09/2076;segunda-feira;Independància do Brasil;;;
12/10/2076;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2076;segunda-feira;Finados;;;
15/11/2076;domingo;Proclamaá∆o da Rep£blica;;;
25/12/2076;sexta-feira;Natal;;;
01/01/2077;sexta-feira;Confraternizaá∆o Universal;;;
22/02/2077;segunda-feira;Carnaval;;;
23/02/2077;teráa-feira;Carnaval;;;
09/04/2077;sexta-feira;Paix∆o de Cristo;;;
21/04/2077;quarta-feira;Tiradentes;;;
01/05/2077;s†bado;Dia do Trabalho;;;
10/06/2077;quinta-feira;Corpus Christi;;;
07/09/2077;teráa-feira;Independància do Brasil;;;
12/10/2077;teráa-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2077;teráa-feira;Finados;;;
15/11/2077;segunda-feira;Proclamaá∆o da Rep£blica;;;
25/12/2077;s†bado;Natal;;;
01/01/2078;teráa-feira;Confraternizaá∆o Universal;;;
14/02/2078;segunda-feira;Carnaval;;;
15/02/2078;teráa-feira;Carnaval;;;
01/04/2078;sexta-feira;Paix∆o de Cristo;;;
21/04/2078;quinta-feira;Tiradentes;;;
01/05/2078;quarta-feira;Dia do Trabalho;;;
02/06/2078;quinta-feira;Corpus Christi;;;
07/09/2078;quarta-feira;Independància do Brasil;;;
12/10/2078;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;100000;
02/11/2078;quarta-feira;Finados;;;
15/11/2078;teráa-feira;Proclamaá∆o da Rep£blica;;;
25/12/2078;quarta-feira;Natal;;;
Fonte: ANBIMA;;;;;
;;;;;
1) De acordo com a Resoluá∆o n ß 2.516, a partir do ano 2000, a quinta-feira da Semana Santa foi considerada dia £til. Esta mesma Resoluá∆o dispensou as instituiá‰es financeiras do cumprimento do hor†rio m°nimo de funcionamento, desde que informem ao p£blico.;;;;;
;;;;;
"2) A lei nß 9.504/97 estabeleceu que, em ano eleitoral, o 1ß turno das eleiá‰es ser† realizado no primeiro domingo de outubro; e o 2ß turno, quando houver, no £ltimo domingo do referido màs.";;;;;
;;;;;
3) De acordo com a Resoluá∆o nß 2.596/99, no £ltimo dia £til do ano n∆o haver† atendimento ao p£blico.;;;;;
;;;;;
4) Esta listagem n∆o inclui os feriados municipais, eleiá‰es e o £ltimo dia do ano. O critÇrio adotado foi o de indicar os feriados em que n∆o h† sensibilizaá∆o das Reservas Banc†rias.;;;;;
